StudentID	termcode	CourseID
6	201709	1
7	201709	7
8	201709	6
9	201709	6
10	201709	8
11	201709	4
12	201709	5
13	201709	6
14	201709	4
15	201709	1
16	201709	2
17	201709	7
18	201709	5
19	201709	5
20	201709	8
21	201709	1
22	201709	8
23	201709	1
24	201709	8
25	201709	5
26	201709	7
27	201709	1
28	201709	3
29	201709	5
30	201709	7
31	201709	4
32	201709	6
33	201709	6
34	201709	6
35	201709	6
36	201709	1
37	201709	3
38	201709	3
39	201709	3
40	201709	5
41	201709	1
42	201709	5
43	201709	7
44	201709	7
45	201709	3
46	201709	2
47	201709	3
48	201709	6
49	201709	7
50	201709	4
